throughput, loss, CPU host, CPU remote, streams, country, connection, client, IP, time, streams, verbose, json,,,
4.32,0.002776,0.0003,2.1977,1.2550,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w90000
0.85,0.002776,0.0013,2.0281,0.0827,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w20000
1.85,0.002776,0.0006,1.4726,0.5797,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w40000
2.85,0.023596,0.0033,1.9123,0.8591,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w60000
3.11,0.041640,0.0053,1.7893,0.9336,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w80000
4.33,0.023596,0.0022,1.7683,1.3277,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w100000
5.22,0.002776,0.0002,2.1709,1.4263,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w120000
5.33,0.073564,0.0055,1.6612,1.5167,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w140000
6.77,0.012492,0.0007,1.8086,1.7996,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w160000
1.57,0.002896,0.0007,1.5054,0.3531,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w20000
3.40,0.002896,0.0003,1.3521,0.9330,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w40000
5.19,0.002896,0.0002,1.6617,1.4550,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w60000
6.99,0.002896,0.0002,1.8237,1.8136,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w80000
8.79,0.002896,0.0001,2.0091,2.2737,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w100000
10.44,0.002896,0.0001,2.1226,2.5447,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w120000
10.18,0.005792,0.0002,1.9638,2.3447,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w140000
11.03,0.160728,0.0058,2.1142,2.5592,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w160000
11.37,0.036200,0.0013,1.9425,2.4848,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w180000
12.39,0.034752,0.0011,2.1001,2.7632,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w200000
12.12,0.069504,0.0023,2.0080,2.6337,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w220000
12.03,0.099912,0.0033,2.1748,2.6298,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w240000
12.17,0.098464,0.0032,2.1486,2.5994,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w260000
12.19,0.118736,0.0039,2.1276,2.6935,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w280000
12.54,0.169416,0.0054,2.1783,2.6818,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w300000
12.54,0.167968,0.0053,2.2886,2.7228,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w320000
12.21,0.176656,0.0058,2.1512,2.7759,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w340000
12.49,0.211408,0.0067,2.1563,2.6466,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w360000
12.84,0.218648,0.0068,2.1710,2.7212,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w380000
